,rng,geq_avg_acc,max_acc
0,37.20642768850433,4.8207663782447465,11.61928306551298
1,29.34065934065934,55.494505494505496,55.494505494505496
2,41.99451052150046,14.730100640439158,24.153705397987192
3,46.40151515151515,46.40151515151515,46.96969696969697
4,47.707558859975215,47.707558859975215,16.356877323420075
5,8.630952380952381,5.9523809523809526,6.25
6,8.956602031394276,25.20775623268698,29.732225300092335
7,12.949640287769784,21.942446043165468,31.414868105515588
8,22.42152466367713,25.739910313901344,37.130044843049326
9,26.666666666666668,30.967741935483872,24.193548387096776
