,rng,geq_avg_acc,max_acc
0,16.234498308906428,13.360323886639677,22.672064777327936
1,16.614173228346456,16.0518444666002,20.405862457722662
2,13.251670378619155,13.228346456692913,23.61516034985423
3,12.184412733260153,15.033407572383073,22.233300099700898
4,15.468940316686966,19.538968166849617,22.598425196850393
5,21.503496503496503,14.007308160779537,20.93541202672606
6,,18.96853146853147,21.514818880351264
7,,,20.34104750304507
8,,,21.066433566433567
