,ours,rng,max_qty,unif_ratio,o2o,o2m,gan
0,26.22047244094488,25.748031496062993,19.921259842519685,19.763779527559056,17.322834645669293,18.031496062992126,19.763779527559056
1,34.44444444444444,23.11111111111111,23.0,23.22222222222222,23.666666666666668,20.22222222222222,23.22222222222222
2,30.954994511525797,26.783754116355652,27.66190998902305,28.10098792535675,30.954994511525797,30.296377607025246,28.10098792535675
3,38.80778588807786,26.277372262773724,26.642335766423358,27.00729927007299,33.333333333333336,31.386861313868614,27.00729927007299
4,40.59492563429571,34.645669291338585,33.85826771653543,33.6832895888014,37.44531933508311,34.29571303587051,33.6832895888014
