,rng,geq_avg_acc,max_acc
0,42.99191374663073,22.371967654986523,27.762803234501348
1,56.06190885640585,56.06190885640585,56.06190885640585
2,55.4054054054054,55.4054054054054,12.612612612612613
3,54.42176870748299,54.42176870748299,27.891156462585034
4,11.254980079681275,54.581673306772906,12.649402390438247
5,27.244094488188978,28.818897637795274,31.10236220472441
6,17.57508342602892,26.585094549499445,30.14460511679644
7,39.03508771929825,29.05701754385965,40.78947368421053
8,14.598540145985401,9.002433090024331,0.0
9,13.035870516185478,19.860017497812773,12.160979877515311
