,Row_Labels,Ours_Max,Ours_Min,Alpha_Rng,ST_Rng,Alpha_H1,ST_H1,Alpha_H2,ST_H2
0,Accuracy,54.8,51.69,22.98,37.53,40.8,37.78,40.05,32.59
1,Energy,59.57,21.66,91.55,95.56,95.62,80.23,95.62,39.56
