,rng,psi-fl,psi-gan
0,17.931858936043035,23.692307692307693,29.50030102347983
1,24.076923076923077,24.79030754892824,23.479831426851295
2,31.03448275862069,29.753694581280786,28.29268292682927
3,18.226600985221676,25.36231884057971,23.384615384615383
4,27.10144927536232,31.407563025210084,26.561043802423114
5,30.04201680672269,,24.236453201970445
6,,,20.434782608695652
7,,,23.319327731092436
