,ours,rng,max_qty,unif_ratio,o2o,o2m
0,38.47364280094414,24.311565696302125,24.783634933123526,25.177025963808024,28.402832415420928,40.83398898505114
1,32.441471571906355,33.55629877369008,33.779264214046826,33.779264214046826,36.34336677814939,33.55629877369008
2,75.0,35.19736842105263,35.96491228070175,36.51315789473684,23.464912280701753,75.0
3,61.99756394640682,0.0,23.38611449451888,22.89890377588307,0.0,48.59926918392205
4,59.31758530183727,15.135608048993875,23.184601924759406,24.059492563429572,25.721784776902886,34.2082239720035
5,97.30094466936572,97.30094466936572,97.30094466936572,97.30094466936572,97.30094466936572,97.30094466936572
6,98.45094664371773,98.45094664371773,98.45094664371773,98.45094664371773,98.45094664371773,98.45094664371773
7,90.98083427282977,90.98083427282977,90.98083427282977,90.98083427282977,90.98083427282977,90.98083427282977
8,99.41690962099125,99.41690962099125,99.41690962099125,99.41690962099125,99.41690962099125,99.41690962099125
9,99.00199600798403,99.00199600798403,99.00199600798403,99.00199600798403,99.00199600798403,99.00199600798403
