,rng,geq_avg_acc,max_acc
0,98.39108910891089,98.39108910891089,20.915841584158414
1,82.96703296703296,25.054945054945055,0.0
2,99.45105215004574,99.45105215004574,99.45105215004574
3,99.0530303030303,99.0530303030303,0.0
4,97.02602230483271,97.02602230483271,39.653035935563814
5,10.824230387288978,17.775571002979145,17.676266137040717
6,32.96398891966759,28.71652816251154,21.791320406278857
7,39.92805755395683,37.29016786570743,23.381294964028775
8,74.26008968609865,0.0,0.0
9,46.39397201291712,49.40796555435953,51.56081808396125
