,rng,geq_avg_acc,max_acc
0,98.92037786774628,98.92037786774628,44.80431848852901
1,57.00773860705073,19.862424763542563,75.8383490971625
2,99.09808342728297,99.09808342728297,38.444193912063135
3,99.70845481049562,99.70845481049562,99.70845481049562
4,28.31505483549352,99.40179461615155,43.76869391824526
5,0.0,1.8095987411487018,24.783634933123526
6,23.051224944320712,21.714922048997774,22.93986636971047
7,0.0,2.741228070175439,41.00877192982456
8,35.07917174177832,40.438489646772226,24.96954933008526
9,1.3123359580052494,81.80227471566054,16.79790026246719
