,ours,rng,max_qty,unif_ratio,o2o,o2m,source,gan
0,88.18897637795276,85.11811023622047,82.1259842519685,82.1259842519685,82.44094488188976,80.15748031496064,48.337388483373886,82.1259842519685
1,38.77777777777778,39.77777777777778,39.111111111111114,39.0,38.77777777777778,38.22222222222222,87.22146430195544,39.0
2,41.822173435784855,40.834248079034026,41.1635565312843,41.49286498353458,41.822173435784855,35.89462129527991,93.63177805800757,41.49286498353458
3,45.06699147381242,46.89403166869671,47.38124238733252,47.503045066991476,45.06699147381242,46.406820950060904,48.55769230769231,47.503045066991476
4,86.53846153846153,86.01398601398601,84.0034965034965,83.65384615384616,89.5104895104895,82.6923076923077,87.12591756070017,83.65384615384616
