,rng,geq_avg_acc,max_acc
0,35.024752475247524,15.717821782178218,18.316831683168317
1,57.73874862788145,57.73874862788145,53.01866081229418
2,61.172161172161175,61.172161172161175,23.534798534798536
3,66.1611374407583,66.1611374407583,66.1611374407583
4,64.72772277227723,64.72772277227723,48.26732673267327
5,15.758176412289396,34.886025768087215,37.661050545094156
6,24.354243542435423,28.690036900369005,30.350553505535057
7,21.58273381294964,19.664268585131893,28.297362110311752
8,22.60089686098655,40.08968609865471,21.883408071748878
9,19.548872180451127,28.893662728249193,43.17937701396348
