,rng,geq_avg_acc,max_acc
0,37.735849056603776,16.307277628032345,37.19676549865229
1,56.49183147033534,10.920034393809114,55.88993981083405
2,57.432432432432435,33.22072072072072,37.83783783783784
3,70.74829931972789,70.74829931972789,70.74829931972789
4,19.52191235059761,62.05179282868526,47.41035856573705
5,21.181102362204726,35.98425196850393,52.125984251968504
6,9.121245828698553,47.60845383759733,39.265850945494996
7,30.263157894736842,8.442982456140351,48.90350877192982
8,20.92457420924574,40.02433090024331,13.38199513381995
9,11.811023622047244,22.397200349956254,18.810148731408574
